Акроним названия режима химиотерапии	Компоненты и побуквенная расшифровка акронима	Примеры использования и примечания
ESHAP-R или R-ESHAP	Этопозид — (E)toposide, Метилпреднизолон — (S)olu-Medrol, высокодозный Цитарабин — (H)igh-dose (A)ra-C, Цисплатин — (P)latinol, Ритуксимаб — (R)ituximab	Лимфомы
FAM	Фторурацил — (F)luorouracil, Доксорубицин — (A)driamycin, Митомицин — (M)itomycin
FCM	Флударабин — (F)ludarabine, Циклофосфамид — (C)yclophosphamide, Митоксантрон — (M)itoxantrone	В-клеточные неходжкинские лимфомы, а также рассеянный склероз
FM	Флударабин — (F)ludarabine, Митоксантрон — (M)itoxantrone	В-клеточные неходжкинские лимфомы, а также рассеянный склероз
FM-R или R-FM или RFM или FMR	Флударабин — (F)ludarabine, Митоксантрон — (M)itoxantrone, Ритуксимаб — (R)ituximab	В-клеточные неходжкинские лимфомы, а также рассеянный склероз
FEC	Фторурацил — (F)luorouracil, Эпирубицин — (E)pirubicin, Циклофосфамид — (C)yclophosphamide	Рак молочной железы
FL (он же «протокол клиники Мэйо», «протокол Мэйо»)	Фторурацил — (F)luorouracil, кальция фолинат — (L)eucovorin, либо Фторурацил — (F)luorouracil плюс левамизол — (L)evamisole	Колоректальный рак
FLAG	Флударабин — (FL)udarabine, Цитарабин — (A)ra-C, филграстим — (G)-CSF	Миелодиспластический синдром, острый миелоидный лейкоз
FLAG-IDA или FLAG-Ida или Ida-FLAG или IDA-FLAG	Флударабин — (FL)udarabine, Цитарабин — (A)ra-C, Идарубицин — (Ida)rubicin, филграстим — (G)-CSF	Миелодиспластический синдром, острый миелоидный лейкоз
Mito-FLAG или MITO-FLAG или FLAG-Mito или FLAG-MITO	Флударабин — (FL)udarabine, Цитарабин — (A)ra-C, Митоксантрон — (Mito)xantrone, филграстим — (G)-CSF	Миелодиспластический синдром, острый миелоидный лейкоз
FLAMSA	Флударабин — (FL)udarabine, Цитарабин — (A)ra-C, Амсакрин — (AMSA)crine	Миелодиспластический синдром, острый миелоидный лейкоз
FLAMSA-BU	Флударабин — (FL)udarabine, Цитарабин — (A)ra-C, Амсакрин — A(MSA)crine, Бусульфан — (BU)sulfan	Миелодиспластический синдром, Острый миелоидный лейкоз
FLAMSA-MEL	Флударабин — (FL)udarabine, Цитарабин — (A)ra-C, Амсакрин — A(MSA)crine, Мелфалан — (MEL)phalan	Миелодиспластический синдром, Острая миелоидная лейкемия
FOLFIRI	кальция фолинат — calcium (FOL)inate, Фторурацил — (F)luorouracil, Иринотекан — (IRI)notecan	Колоректальный рак
FOLFIRINOX	кальция фолинат — calcium (FOL)inate, Фторурацил — (F)luorouracil, Иринотекан — (IRI)notecan, Оксалиплатин — OXaliplatin	Рак поджелудочной железы
FOLFOX	кальция фолинат — calcium (FOL)inate, Фторурацил — (F)luorouracil, Оксалиплатин — OXaliplatin	Колоректальный рак
HDAC или HD-AraC	Высокодозный цитарабин — (H)igh (D)ose (A)ra-(C)	Лимфома
HD-MTX или HD-Mtx	Высокодозный метотрексат — (H)igh (D)ose (M)e(T)hotre(X)ate	Лимфома
HD-CYC или HD-Cyc	Высокодозный циклофосфамид — (H)igh (D)ose (CYC)lophosphamide	Лимфома
HD-ETO или HD-Eto	Высокодозный этопозид — (H)igh (D)ose (ETO)poside	Лимфома
GC	Гемцитабин — (G)emcitabine, Цисплатин — (C)isplatin
GVD	Гемцитабин — (G)emcitabine, Винорелбин — (V)inorelbine, липосомальный пегилированный Доксорубицин — (D)oxil	рецидив или рефрактерный к терапии I линии Лимфогранулематоз
GemOx или GEMOX	Гемцитабин — (Gem)citabine, Оксалиплатин — (Ox)aliplatin	рецидив или рефрактерные к терапии I линии неходжкинские лимфомы и лимфогранулематоз
GemOx-R или GEMOX-R	Гемцитабин — (Gem)citabine, Оксалиплатин — (Ox)aliplatin, Ритуксимаб — (R)ituximab	рецидив или рефрактерные к терапии I линии неходжкинские лимфомы и лимфогранулематоз
ICE	Ифосфамид — (I)fosfamide, Карбоплатин — (C)arboplatin, Этопозид — (E)toposide	Агрессивные лимфомы, прогрессирующая нейробластома
ICE-R или R-ICE, RICE	Ритуксимаб — (R)ituximab, Ифосфамид — (I)fosfamide, Карбоплатин — (C)arboplatin, Этопозид — (E)toposide	B-клеточные агрессивные лимфомы, в рецидиве или прогрессировании после I линии терапии
IFL	Иринотекан — (I)rinotecan, Фторурацил — (F)luorouracil, кальция фолинат — (L)eucovorin	Колоректальный рак
IMEP	Ифосфамид — (I)fosfamide, Метотрексат — (M)ethotrexate, Этопозид — (E)toposide, Преднизолон — (P)rednisolone	Назальная NK-/T-клеточная лимфома
m-BACOD	Метотрексат — (m)ethotrexate, Блеомицин — (B)leomycin, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Винкристин — (O)ncovin, Дексаметазон — (D)examethasone	Неходжкинские лимфомы
MACOP-B	Высокодозный Метотрексат — (M)ethotrexate с кальция фолинатом, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Винкристин — (O)ncovin, Преднизолон — (P)rednisolone, Блеомицин — (B)leomycin	Неходжкинские лимфомы
MINE	Месна — (M)esna, Ифосфамид — (I)fosfamide, Митоксантрон — (N)ovantrone, Этопозид — (E)toposide
MMM	Митомицин — (M)itomycin, Метотрексат — (M)ethotrexate, Митоксантрон — (M)itoxantrone
MOPP	Мехлоретамин — (M)echlorethamine, Винкристин — (O)ncovin, Прокарбазин — (P)rocarbazine, Преднизолон — (P)rednisolone	Лимфогранулематоз
MVAC	Метотрексат — (M)ethotrexate, Винбластин — (V)inblastine, Доксорубицин — (A)driamycin, Цисплатин — (C)isplatin	продвинутые стадии рака мочевого пузыря[4]
MVP	Митомицин — (M)itomycin, Виндесин — (V)indesin, Цисплатин — (P)latinol
NP	Винорелбин — (N)avelbin, Цисплатин — (P)latinol
PACE	Цисплатин — (P)latinol, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Этопозид — (E)toposide
PCV	Прокарбазин — (P)rocarbazine, Ломустин — (C)CNU, Винкристин — (V)incristine	Опухоли мозга
PEB	Цисплатин — (P)latinol, Этопозид — (E)toposide, Блеомицин — (B)leomycin
PEI	Цисплатин — (P)latinol, Этопозид — (E)toposide, Ифосфамид — (I)fosfamide
POMP	Меркаптопурин — (P)urinethol, Винкристин — (O)ncovin, Метотрексат — (M)ethotrexate, Преднизолон — (P)rednisolone	Острый лейкоз у взрослых[5]
ProMACE-MOPP	Прокарбазин — (Pro)carbazine, Метотрексат — (M)ethotrexate, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Этопозид — (E)toposide, чередующийся с MOPP (Мехлоретамин — (M)echlorethamine, Винкристин — (O)ncovin, Прокарбазин — (P)rocarbazine, Преднизолон — (P)rednisolone)	Неходжкинские лимфомы
ProMACE-CytaBOM	Прокарбазин — (Pro)carbazine, Метотрексат — (M)ethotrexate, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Этопозид — (E)toposide, чередующийся с применением Цитарабина — (Cyta)rabine, Блеомицина — (B)leomycin, Винкристина — (O)ncovin, высокодозного Метотрексата — (M)ethotrexate c кальция фолинатом	Неходжкинские лимфомы
RdC	Леналидомид — (R)evlimid, Дексаметазон — (d)examethasone, Циклофосфамид — (C)yclophosphamide
R-DHAP или DHAP-R	Ритуксимаб плюс DHAP, то есть Дексаметазон — (D)examethasone, высокодозный Цитарабин — High-dose Ara-C, Цисплатин — (P)latinol	В-клеточные неходжкинские лимфомы
R-ESHAP или ESHAP-R	Ритуксимаб плюс ESHAP	В-клеточные неходжкинские лимфомы
R-EPOCH или EPOCH-R	Ритуксимаб плюс EPOCH	В-клеточные неходжкинские лимфомы
R-MINE или MINE-R	Ритуксимаб плюс MINE	В-клеточные неходжкинские лимфомы
R-CHOP или CHOP-R	Ритуксимаб плюс CHOP	В-клеточные неходжкинские лимфомы
R-FCM	Ритуксимаб плюс FCM, то есть Флударабин — (F)ludarabine, Циклофосфамид — (C)yclophosphamide, Митоксантрон — (M)itoxantrone	B-клеточные неходжкинские лимфомы
R-FM, он же RFM, FM-R, FMR	Ритуксимаб плюс FM, то есть Флударабин — (F)ludarabine, Митоксантрон — (M)itoxantrone	B-клеточные неходжкинские лимфомы
R-ICE или RICE, ICE-R	Ритуксимаб плюс ICE, то есть Ифосфамид — (I)fosfamide, Карбоплатин — (C)arboplatin, Этопозид — (E)toposide	B-клеточные неходжкинские лимфомы в рецидиве или прогрессирующие после терапии I линии
RVD	Леналидомид — (R)evlimid, Бортезомиб — (V)elcade, Дексаметазон — (D)examethasone
Stanford V	Доксорубицин, Мехлоретамин, Блеомицин, Винбластин, Винкристин, Этопозид, Преднизолон	Лимфогранулематоз
TAC	Доцетаксел — (T)axotere, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide	Рак молочной железы
TCH	Паклитаксел — (T)axol, Карбоплатин — (C)arboplatin, Трастузумаб — (H)erceptin	Рак молочной железы
Thal/Dex	Талидомид — (Thal)idomide, Дексаметазон — (Dex)amethasone	Множественная миелома
TIP	Паклитаксел — (T)axol, Ифосфамид — (I)fosfamide, Цисплатин — (P)latinum-based drug	Рак яичка, герминома
VAC	Винкристин — (V)incristine, Дактиномицин — (A)ctinomycin D, Циклофосфамид — (C)yclophosphamide	Рабдомиосаркома
VAD	Винкристин — (V)incristine, Доксорубицин — (A)driamycin, Дексаметазон — (D)examethasone	Множественная миелома
VAPEC-B	Винкристин — (V)incristine, Доксорубицин — (A)driamycin, Преднизолон — (P)rednisolone, Этопозид — (E)toposide, Циклофосфамид — (C)yclophosphamide, Блеомицин — (B)leomycin	Лимфогранулематоз
VD-PACE	Бортезомиб — (V)elcade, Дексаметазон — (D)examethasone плюс PACE (Цисплатин — (P)latinum-based drug, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Этопозид — (E)toposide)
VIFUP	Винорелбин — (VI)norelbine, Фторурацил — 5-(F)luoro(U)racil, 5-(FU), Цисплатин — (P)latinum-based drug
VIP	Винбластин — (V)inblastine, Ифосфамид — (I)fosfamide, Цисплатин — (P)latinum-based drug	Рак яичка, герминома
VTD-PACE	Бортезомиб — (V)elcade, Талидомид — (T)halidomide, Дексаметазон — (D)examethasone плюс PACE (Цисплатин — (P)latinum-based drug, Доксорубицин — (A)driamycin, Циклофосфамид — (C)yclophosphamide, Этопозид — (E)toposide)
Секвенс	Последовательное применение HD-CYC, HD-MTX, HDAC и HD-ETO, то есть последовательность высокодозных циклофосфамида, метотрексата, цитарабина и этопозида	Неходжкинские лимфомы
